Symbol,HGNC_ID,URL
A1BG,5,https://identifiers.org/hgnc:5
A1CF,24086,https://identifiers.org/hgnc:24086
A2M,7,https://identifiers.org/hgnc:7
A2ML1,23336,https://identifiers.org/hgnc:23336
A3GALT2,30005,https://identifiers.org/hgnc:30005
A4GALT,18149,https://identifiers.org/hgnc:18149
A4GNT,17968,https://identifiers.org/hgnc:17968
AAAS,13666,https://identifiers.org/hgnc:13666
AACS,21298,https://identifiers.org/hgnc:21298
AADAC,17,https://identifiers.org/hgnc:17
AADACL2,24427,https://identifiers.org/hgnc:24427
AADACL3,32037,https://identifiers.org/hgnc:32037
AADACL4,32038,https://identifiers.org/hgnc:32038
AADAT,17929,https://identifiers.org/hgnc:17929
AAGAB,25662,https://identifiers.org/hgnc:25662
AAK1,19679,https://identifiers.org/hgnc:19679
AAMDC,30205,https://identifiers.org/hgnc:30205
AAMP,18,https://identifiers.org/hgnc:18
AANAT,19,https://identifiers.org/hgnc:19
AAR2,15886,https://identifiers.org/hgnc:15886
AARD,33842,https://identifiers.org/hgnc:33842
AARS1,20,https://identifiers.org/hgnc:20
AARS2,21022,https://identifiers.org/hgnc:21022
AARSD1,28417,https://identifiers.org/hgnc:28417
AASDH,23993,https://identifiers.org/hgnc:23993
AASDHPPT,14235,https://identifiers.org/hgnc:14235
AASS,17366,https://identifiers.org/hgnc:17366
AATBC,51526,https://identifiers.org/hgnc:51526
AATF,19235,https://identifiers.org/hgnc:19235
AATK,21,https://identifiers.org/hgnc:21
AAVS1,22,https://identifiers.org/hgnc:22
ABALON,49667,https://identifiers.org/hgnc:49667
ABAT,23,https://identifiers.org/hgnc:23
ABCA1,29,https://identifiers.org/hgnc:29
ABCA10,30,https://identifiers.org/hgnc:30
ABCA11P,31,https://identifiers.org/hgnc:31
ABCA12,14637,https://identifiers.org/hgnc:14637
ABCA13,14638,https://identifiers.org/hgnc:14638
ABCA17P,32972,https://identifiers.org/hgnc:32972
ABCA2,32,https://identifiers.org/hgnc:32
ABCA3,33,https://identifiers.org/hgnc:33
ABCA4,34,https://identifiers.org/hgnc:34
ABCA5,35,https://identifiers.org/hgnc:35
ABCA6,36,https://identifiers.org/hgnc:36
ABCA7,37,https://identifiers.org/hgnc:37
ABCA8,38,https://identifiers.org/hgnc:38
ABCA9,39,https://identifiers.org/hgnc:39
ABCB1,40,https://identifiers.org/hgnc:40
ABCB10,41,https://identifiers.org/hgnc:41
ABCB11,42,https://identifiers.org/hgnc:42
ABCB4,45,https://identifiers.org/hgnc:45
ABCB5,46,https://identifiers.org/hgnc:46
ABCB6,47,https://identifiers.org/hgnc:47
ABCB7,48,https://identifiers.org/hgnc:48
ABCB8,49,https://identifiers.org/hgnc:49
ABCB9,50,https://identifiers.org/hgnc:50
ABCC1,51,https://identifiers.org/hgnc:51
ABCC10,52,https://identifiers.org/hgnc:52
ABCC11,14639,https://identifiers.org/hgnc:14639
ABCC12,14640,https://identifiers.org/hgnc:14640
ABCC2,53,https://identifiers.org/hgnc:53
ABCC3,54,https://identifiers.org/hgnc:54
ABCC4,55,https://identifiers.org/hgnc:55
ABCC5,56,https://identifiers.org/hgnc:56
ABCC6,57,https://identifiers.org/hgnc:57
ABCC8,59,https://identifiers.org/hgnc:59
ABCC9,60,https://identifiers.org/hgnc:60
ABCD1,61,https://identifiers.org/hgnc:61
ABCD2,66,https://identifiers.org/hgnc:66
ABCD3,67,https://identifiers.org/hgnc:67
ABCD4,68,https://identifiers.org/hgnc:68
ABCE1,69,https://identifiers.org/hgnc:69
ABCF1,70,https://identifiers.org/hgnc:70
ABCF2,71,https://identifiers.org/hgnc:71
ABCF2-H2BK1,54751,https://identifiers.org/hgnc:54751
ABCF3,72,https://identifiers.org/hgnc:72
ABCG1,73,https://identifiers.org/hgnc:73
ABCG2,74,https://identifiers.org/hgnc:74
ABCG4,13884,https://identifiers.org/hgnc:13884
ABCG5,13886,https://identifiers.org/hgnc:13886
ABCG8,13887,https://identifiers.org/hgnc:13887
ABHD1,17553,https://identifiers.org/hgnc:17553
ABHD10,25656,https://identifiers.org/hgnc:25656
ABHD11,16407,https://identifiers.org/hgnc:16407
ABHD12,15868,https://identifiers.org/hgnc:15868
ABHD12B,19837,https://identifiers.org/hgnc:19837
ABHD13,20293,https://identifiers.org/hgnc:20293
ABHD14A,24538,https://identifiers.org/hgnc:24538
ABHD14A-ACY1,38856,https://identifiers.org/hgnc:38856
ABHD14B,28235,https://identifiers.org/hgnc:28235
ABHD15,26971,https://identifiers.org/hgnc:26971
ABHD16A,13921,https://identifiers.org/hgnc:13921
ABHD16B,16128,https://identifiers.org/hgnc:16128
ABHD17A,28756,https://identifiers.org/hgnc:28756
ABHD17B,24278,https://identifiers.org/hgnc:24278
ABHD17C,26925,https://identifiers.org/hgnc:26925
ABHD18,26111,https://identifiers.org/hgnc:26111
ABHD2,18717,https://identifiers.org/hgnc:18717
ABHD3,18718,https://identifiers.org/hgnc:18718
ABHD4,20154,https://identifiers.org/hgnc:20154
ABHD5,21396,https://identifiers.org/hgnc:21396
ABHD6,21398,https://identifiers.org/hgnc:21398
ABHD8,23759,https://identifiers.org/hgnc:23759
ABI1,11320,https://identifiers.org/hgnc:11320
ABI2,24011,https://identifiers.org/hgnc:24011
ABI3,29859,https://identifiers.org/hgnc:29859
ABI3BP,17265,https://identifiers.org/hgnc:17265
ABITRAM,1364,https://identifiers.org/hgnc:1364
ABL1,76,https://identifiers.org/hgnc:76
ABL2,77,https://identifiers.org/hgnc:77
ABLIM1,78,https://identifiers.org/hgnc:78
ABLIM2,19195,https://identifiers.org/hgnc:19195
ABLIM3,29132,https://identifiers.org/hgnc:29132
ABO,79,https://identifiers.org/hgnc:79
ABR,81,https://identifiers.org/hgnc:81
ABRA,30655,https://identifiers.org/hgnc:30655
ABRACL,21230,https://identifiers.org/hgnc:21230
ABRAXAS1,25829,https://identifiers.org/hgnc:25829
ABRAXAS2,28975,https://identifiers.org/hgnc:28975
ABT1,17369,https://identifiers.org/hgnc:17369
ABTB1,18275,https://identifiers.org/hgnc:18275
ABTB2,23842,https://identifiers.org/hgnc:23842
ABTB3,23844,https://identifiers.org/hgnc:23844
ACAA1,82,https://identifiers.org/hgnc:82
ACAA2,83,https://identifiers.org/hgnc:83
ACACA,84,https://identifiers.org/hgnc:84
ACACB,85,https://identifiers.org/hgnc:85
ACAD10,21597,https://identifiers.org/hgnc:21597
ACAD11,30211,https://identifiers.org/hgnc:30211
ACAD8,87,https://identifiers.org/hgnc:87
ACAD9,21497,https://identifiers.org/hgnc:21497
ACADL,88,https://identifiers.org/hgnc:88
ACADM,89,https://identifiers.org/hgnc:89
ACADS,90,https://identifiers.org/hgnc:90
ACADSB,91,https://identifiers.org/hgnc:91
ACADVL,92,https://identifiers.org/hgnc:92
ACAN,319,https://identifiers.org/hgnc:319
ACAP1,16467,https://identifiers.org/hgnc:16467
ACAP2,16469,https://identifiers.org/hgnc:16469
ACAP3,16754,https://identifiers.org/hgnc:16754
ACAT1,93,https://identifiers.org/hgnc:93
ACAT2,94,https://identifiers.org/hgnc:94
ACBD3,15453,https://identifiers.org/hgnc:15453
ACBD4,23337,https://identifiers.org/hgnc:23337
ACBD5,23338,https://identifiers.org/hgnc:23338
ACBD6,23339,https://identifiers.org/hgnc:23339
ACBD7,17715,https://identifiers.org/hgnc:17715
ACCS,23989,https://identifiers.org/hgnc:23989
ACCSL,34391,https://identifiers.org/hgnc:34391
ACD,25070,https://identifiers.org/hgnc:25070
ACE,2707,https://identifiers.org/hgnc:2707
ACE2,13557,https://identifiers.org/hgnc:13557
ACER1,18356,https://identifiers.org/hgnc:18356
ACER2,23675,https://identifiers.org/hgnc:23675
ACER3,16066,https://identifiers.org/hgnc:16066
ACHE,108,https://identifiers.org/hgnc:108
ACIN1,17066,https://identifiers.org/hgnc:17066
ACKR1,4035,https://identifiers.org/hgnc:4035
ACKR2,1565,https://identifiers.org/hgnc:1565
ACKR3,23692,https://identifiers.org/hgnc:23692
ACKR4,1611,https://identifiers.org/hgnc:1611
ACLY,115,https://identifiers.org/hgnc:115
ACMSD,19288,https://identifiers.org/hgnc:19288
ACO1,117,https://identifiers.org/hgnc:117
ACO2,118,https://identifiers.org/hgnc:118
ACOD1,33904,https://identifiers.org/hgnc:33904
ACOT1,33128,https://identifiers.org/hgnc:33128
ACOT11,18156,https://identifiers.org/hgnc:18156
ACOT12,24436,https://identifiers.org/hgnc:24436
ACOT13,20999,https://identifiers.org/hgnc:20999
ACOT2,18431,https://identifiers.org/hgnc:18431
ACOT4,19748,https://identifiers.org/hgnc:19748
ACOT6,33159,https://identifiers.org/hgnc:33159
ACOT7,24157,https://identifiers.org/hgnc:24157
ACOT8,15919,https://identifiers.org/hgnc:15919
ACOT9,17152,https://identifiers.org/hgnc:17152
ACOX1,119,https://identifiers.org/hgnc:119
ACOX2,120,https://identifiers.org/hgnc:120
ACOX3,121,https://identifiers.org/hgnc:121
ACOXL,25621,https://identifiers.org/hgnc:25621
ACP1,122,https://identifiers.org/hgnc:122
ACP2,123,https://identifiers.org/hgnc:123
ACP3,125,https://identifiers.org/hgnc:125
ACP4,14376,https://identifiers.org/hgnc:14376
ACP5,124,https://identifiers.org/hgnc:124
ACP6,29609,https://identifiers.org/hgnc:29609
ACP7,33781,https://identifiers.org/hgnc:33781
ACR,126,https://identifiers.org/hgnc:126
ACRBP,17195,https://identifiers.org/hgnc:17195
ACRP1,54745,https://identifiers.org/hgnc:54745
ACRV1,127,https://identifiers.org/hgnc:127
ACSBG1,29567,https://identifiers.org/hgnc:29567
ACSBG2,24174,https://identifiers.org/hgnc:24174
ACSF2,26101,https://identifiers.org/hgnc:26101
ACSF3,27288,https://identifiers.org/hgnc:27288
ACSL1,3569,https://identifiers.org/hgnc:3569
ACSL3,3570,https://identifiers.org/hgnc:3570
ACSL4,3571,https://identifiers.org/hgnc:3571
ACSL5,16526,https://identifiers.org/hgnc:16526
ACSL6,16496,https://identifiers.org/hgnc:16496
ACSM1,18049,https://identifiers.org/hgnc:18049
ACSM2A,32017,https://identifiers.org/hgnc:32017
